 Raise no fool , Set it off
 Heroes , David Bowie ♥️ 💗
 Add it up , Violent femmes ♥️
 Sweet dreams , Marilyn Manson
 Falling down , muse 💗
 Little cellist , Bears in trees
 Every breath you take , Chase Holfelder
 Paranoid , Palaye Royale
 Stranger things have happened , Foo fighters ♥️
 Ghosting , Mother mother
 Where is mind , Pixies 💗
 Crush , Cigarettes after sex 💗
 Anthem of the lonely , Nine Lashes 🗣️
 Lithium , Nirvana
 Beat the devil’s tatoo , black rebel motorcycle club ♥️
 The drug in me is reimagined , Falling in reverse
 I wanna be your slave , Måneskin
 Kooks , David Bowie ♥️
 Drag me out , Drag me out
 John Wayne , Cigarettes after sex 💗
 LA Devotee , Panic! At the disco
 I’m weird , Ghost town
 Sunflower , Rex orange county ♥️
 Little pistol , mother mother
 All around me , Flyleaf
 I kissed a girl , Twenty two ♥️
 Cello suite #1 in G prelude , Johann Sebastian Bach 🎻
 Verbatim , Mother mother ♥️
 Our last summer , ABBA ♥️
 Smack my bitch up , The prodigy ♥️
 Vengo dalla luna , Måneskin
 Make me wanna die , The pretty reckless
 The chain , Fleetwood Mac ♥️
 Hate this and i’ll love you , muse ♥️
 Punching bag , Palaye royale
 Monsters , All time low
 It’s over when it’s over , Falling in reverse
 Nothing’s gonna hurt you baby , Cigarettes after sex
 Nights in white satin , The relentless
 Red , Survive said the prophet ♥️🗣️
 Stay , palaye royale
 Guns for hire , Woodkid ♥️
 Take Yo’ praise , Camille Yarbrough ♥️
 Baby said , Måneskin
 Clint eastwood , Gorillaz ♥️
 Feel good , muse
 Something in the way , Nirvana
 Chop Suey! , System of a down ♥️🗣️
 Got the life , Korn ♥️🗣️
 Lifeless stars , Palaye Royale
 Pit of vipers , Simon curtis
 Redemption song , bob marley
 You’re so creepy , Ghost town
 Will of the people , muse
 Tsunami (11:11) , Bambie thug♥️
 Morirò da re , måneskin
 Whatever it takes , Hollywood undead ♥️🗣️
 Supersonic , Oasis
 Doing this again! , Bears in trees
 Fill your heart , David Bowie
 Cities in dust , Siouxsie and the banshees
" Hey hey, My my ", The relentless
 Supermodel , Måneskin
 Vixen , Destroy boys
 Hayloft II , mother mother ♥️
 Coming undone , Korn ♥️🗣️
 Hell is for children , The relentless
 She’s in parties , Bahaus ♥️
 It’s that time , marlon Hoffstadt
 My youth generation , Palaye royale
 Emperor’s new clothes , Panic! At the disco
 Lucifer Sam , Pink floyd ♥️
 Will i ever love , Anya Nami
 Playground love , Air ♥️
 Under pressure ," Queen, David Bowie ♥️"
 Voices , Motionless in white 🗣️
 Like boys , hyphen hyphen ♥️
 Sunburn , Muse
 My monsters , New years day
 Freak on a Leash , Korn ♥️🗣️
 Rock’n’roll is dead , Leny Kravitz
 Killing in the name , Rage against the macine ♥️🗣️
 Brand new numb , motionless in white 🗣️
 Things we lost in the fire , Bastille ♥️
 Move to the city , Guns N’ roses
 Sowing the seeds of love , Tears for fears ♥️
 Breathe , the prodigy ♥️
 Make me bad , Korn ♥️🗣️
 Brother sparrow , Agnes obel 🎻
 Heavy cross , Gossip
 White rabbit , Jefferson airplane ♥️
 Animal , Chase Holfelder
 Catch me if you can , Set it off
 Bit by bit , mother mother
 Redeemer , Palaye royale
 Play with fire , sam tinnesz
 Queen bitch , David Bowie ♥️
 Changes , David bowie ♥️
 What i’ve donne , Linkin park
 Pompeii , Bastille ♥️
 Idea 22 , Anya Nami
 Everything black , unlike pluto
 Mr doctor man , Palaye royale ♥️
 Creep , Radiohead
 Numb , Linkin park
 season of the witch , Donovan ♥️
 Pompeii MMXXIII ," Bastille, Hans Zimmer ♥️"
